date,airline,rating,content
2025-09-29,American Airlines,1,"My family and I booked 3 round trip tickets from Ft. Lauderdale to Bangkok. The flight was scheduled to leave on Aug.18 at 5:20 pm. arriving in Bangkok on the morning of Aug. 20. The flight was delayed until 12:15 a.m Aug. 19. Between arriving early as demanded by American Airlines we spent 9 hours waiting while being told hourly that the flight was getting ready to leave. When the plane that was to carry us to our 1st stop arrived both the pilot and co-pilot walked off the job.They could've called the tower and told them hours ago. This caused us to miss our next 2 flights and had us arriving a day later. It was a horrible ordeal. We paid for a hotel in Korea out of pocket along with cab fare both ways and meals. Some vouchers were offered but they were either too late or not accepted. I was told that I should have gotten flight insurance or more expensive seats then maybe they would do something. They acted like we were bothering them to reschedule us. Why do I need to have insurance when it was a labor dispute with the airline staff? Can an airline book a ton of flights and then when the staff refuses to fly they still keep the money? Simply put, with all the waiting, scrambling around to reschedule flights, exhaustion and missing deadlines in Bangkok and then to be told here's 50 bucks and some points that add up to nothing, too bad ....I hate this company, don't use them, they are not customer service oriented, stay away."
2025-09-29,American Airlines,4,"This is our second overseas America flight for this trip. Both flights were delayed. I understand that can happen, what I don’t understand is why the airline is not transparent. In Dallas the countdown to boarding continued when there clearly was no airplane at the gate. We are currently in Dublin and the flight is supposed to leave in 15 minutes and a whole lot of people are standing around(no seating available at this gate) waiting. Why can’t there just be an update? Just say, “we’re delayed for… or we dont know how long, etc”. I don’t understand the lack of communication/transparency."
2025-09-22,American Airlines,1,"My wife and I flew first-class on American from Orlando to San Francisco via Dallas Fort-Worth. We pre-ordered our meals and thus did not bring any food with us. After an hour into the flight, we were very hungry. I asked the attendant when meals would be served. She informed me that someone forgot to load the food so there would be none. She then directed me to call ""corporate"" and complain to them. We did not see any flight attendants during the rest of the flight. They spent their time chatting with each other in the front. after I returned home, I contacted American Airlines customer service and requested a partial refund. I received an apology and offer of a minimal amount of airline miles instead. I had heard that American is known for sub-standard first-class service. I now know this to be true."
2025-09-19,American Airlines,5,"I flew American Airlines business class from Los Angeles to Sydney and the experience was ‘ho-hum’. The flight was delayed by about an hour, and the flight attendants were a motley crew, and like the aircraft we were on – they were old and tired. Any request was bothersome and rebuked. When I was handed the glass of champagne I requested after take-off, I made the mistake of asking, what is it? This response was savage – ‘Champagne! To which I replied – Yes, I know, but what champagne is it? The meal came with 2 salads (I can’t work that out). I had pre-ordered the main dish of beef. This came with a side of mac 7 cheese – so pedestrian. The wagyu beef sliders offered as an in-flight snack sounded great, but were served at room temperature and tasteless. When I asked for an additional pillow, I was told there was only one extra pillow on the aircraft and that it had already been given to another passenger. Breakfast was a lacklustre affair – given America’s obsession with coffee and proper coffee-making machines are readily available - why is this airline still serving that terrible brewed stuff that tastes like dishwater. Maybe a fresh intake of flight attendants will do the trick."
2025-09-19,American Airlines,5,"AA 1048 DFW to LGN in economy - AA were the second leg of our trip as code share with QF7 out of SYD. AA got the job done but with no fanfare or polish. The flight was slighty delayed out of DFW with some expected issue at Boston. The A321 was well used and definitely showing age and wear/tear. Gate service and boarding were pretty good and staff stayed on track with boarding groups. Full flight. Seating comfort was lacking but legroom reasonable in economy. No on seat entertainment but credit to AA with a decent selection using their free WiFi app ( worked well) Crew on board very experienced (ie older) were friendly and one lady was an absolute delight, very bright and cheery and great on the chat with all passengers. Good range of drinks and a few very light snacks served on the 4hr trip. Flight crew did a great job getting us to Boston safely. Overall decent experience. (Would rate a little higher if aircraft was a bit better)."
2025-09-18,American Airlines,1,"First time flying American Airlines in years. I have 7 delays total and have reboard 2 different airline on my last flight. Very unprofessional and unethical. No information was given regarding why we were having issues. We have to switch to a 2nd airline only to experience. I was suppose to arrive in Knoxville at 11:15. Currently I am still on the aircraft in knoxville, it is now 12:45 and we stuck on the runway. The captain says due to other planes and Airlines moving we are grounded till further notice on the runway. They want us to ensure that fly with them again."
2025-09-15,American Airlines,8,"Reno-Dallas-Barcelona. Departing flight had a slight delay but nothing of concern. Arrived at DFW in plenty of time for connecting flight to Barcelona. Mostly on time flight. Boarding was OK. Flight was full. Service began once in the air. Food was OK and beverage service was fine. Entertainment system worked well with plenty of choices. Lights out during the night which allowed me about 3 hours of sleep which I never do, so that was a plus. Light snack in morning before arrival and again a good beverage service. Arrival in Barcelona went well. Pretty quick immigration. All baggage arrived in a reasonable amount of time. Quick line for a taxi and we were on our way. I tend to have pretty good luck with my long-haul flights on American so nothing negative to say."
2025-09-15,American Airlines,6,"The flight was fine; however, they offered an in-flight special of 70,000 bonus miles for signing up for their Advantage program Mastercard with Barclay Bank in April of this year. When I later looked into using these miles, I discovered I only had 1,000 miles in my account! I reached out to them on August 23, again on September 3rd, after they failed to ""call me back after we researched the matter"". In both instances, they stated I had not ""met the criteria"" for these miles. I was subsequently told I “Didn’t meet the requirement of paying the annual fee of $99"". It turns out they billed me for the annual fee in May; I assumed it would be added to my statement, standard for credit cards. After sharing my story with several customer representatives, I was told bluntly by a supervisor on September 12th, that ""it is up to the customer to meet the requirements for the points."" Please be aware that seeking to trick people out of their miles may not be uncommon, and it could happen to you. Fortunately, I found my copy of the annual fee charged in May.  This is plain wrong; I only signed up for their credit card because of the special offer of these bonus points."
2025-09-10,American Airlines,1,"This whole trip was a nightmare thanks to American. This was my second cancelled flight. Flying out west, my first flight (JAX to DFW) was cancelled with no available flight until the next morning. I had to get a hotel (no voucher offered by American) , no food voucher, no water even. Finally the next morning, my flight to Miami went fine and I arrived in Vegas a day late. On the return trip, my flight from Vegas to DFW was delayed, delayed, delayed then delayed to the next morning. Again, another hotel room (no hotel, food vouchers or water offered by American), arriving home a day later and cost of boarding my dog another day. So I go to the airport the next morning and it starts again. My flight from Vegas to DFW delayed, delayed, delayed, Finally I get to Dallas and am awaiting my flight to JAX. Delayed, delayed, delayed...again. This is the worst part: finally the flight is scheduled to leave and I am at the gate. The incoming flight arrives and after the last passenger gets off the plane the flight is cancelled and there is no other flight until the next morning. Are you serious??? I am a healthcare provider and could not be delayed another day, so I (and many others on this flight) flew Delta (almost same route) with NO weather issues. So they blamed all these cancellations on weather but it's a funny thing to me that my luggage arrived that very same night in JAX from DFW. I complained to American and all they said was ""we can't control the weather"" and gave me 7500 miles which is near nothing as you can't even complete a flight on those miles. I have recommended American and complimented them over the years I have been flying but no more. They have really changed and have zero respect for their returning customers. They also have no respect for any passengers as they never once offered us a hotel or smacks or even water."
2025-09-09,American Airlines,1,"My wife and I brought carry on luggage so we would not have the hassle of checking our luggage. While boarding, the attendants said we had to check our bags due to the storage bins being full. Once we boarded the plane we realized that the flight attendants allowed more than half the travelers to put their personal items (book bags & purses) in the overhead compartments, taking up space that the other travelers who HAD to check their bags could have used. Now instead of getting off the plane and heading home, we have to go to baggage claim and wait for our luggage that we should have been able to store on the plane."
2025-09-07,American Airlines,1,"Booked a flight to Kumamoto Japan from Cedar Rapids, IA. Booked on the American Airlines website. Since I am elderly and tall, I need extra legroom. I am a retired teacher, travelling to see my Son, and can’t afford to pay for business class, but I always purchase premium seats for the long flights. I was not able to purchase these seats because American Airlines had assigned me to a Japan Airlines flight from Chicago to Tokyo. JAL told me that American Airlines would assign me such seats. Had to cancel the flights. In the past few days the prices have gone up by about double. American has given me 10,000 extra miles. I have three more flights already booked with American in the next five months. My time flying on this airline is over. I will pay for being tall. I will not be crammed in for 13 hours and deal with rude and greedy people."
2025-09-03,American Airlines,3,American Airlines is pathetic. I knew when I went through Expedia I could not get Delta. Hence American. They sent from Traverse City Michigan to Charlotte. Then to Seattle. Check that flight pattern. Got to Charlotte and then the fun began delayed almost 4 hours and still not sure if it's not delayed longer.
2025-08-30,American Airlines,1,"I was delayed out of DFW to San Diego, over an hour. I spoke to gate representative and was told it was due to maintenance, no other flights available. I called AA and spoke to 3 representatives for over 90m, on two occasions, I asked to speak to supervisor and they hung up on me, one representative told me ""it's only an hour delay"". I'm missing a connecting flight out of San Diego and they don't care one bit, got a generic email apologizing after I complained and still waiting to leave DFW, it's now over an hour and a half delayed. AA is trash, customer service is even worse, and they have staff answering the phones who have no clue how to resolve any problems whatsoever."
2025-08-25,American Airlines,1,"My recent experience with American Airlines was extremely disappointing and far below the standard I expect as a paying customer. My checked baggage was damaged, and items were missing, yet the claims process has been frustrating, slow, and unhelpful. Despite multiple attempts to follow up, communication has been delayed or ignored, and the replacement bag offered was unacceptable in terms of quality and value. I was even referred to a third-party (Rynn Bag Service) without any meaningful support or flexibility in resolving the issue. Customer service was poor throughout this process, with long response times and little to no empathy or urgency. I've been trying to resolve this since August 5, and I’m still waiting for a fair resolution. I urge American Airlines to take better accountability and improve the way it handles baggage claims and customer concerns. If this experience is any indication of how issues are treated, it raises serious concerns about the company’s commitment to its customers"
2025-08-25,American Airlines,1,"My flight number 2517 on AA, on Friday, August 21, 2025, departing from Cleveland to Punta Cana with a connection in Charlotte, was delayed multiple times. I urgently needed to get to my destination because it was my mother-in-law’s funeral. I am grateful to an AA agent who changed my flight so I could make it, but my original flight was still delayed despite the fact that the ticket cost over $3,500. On the return trip, the flight from Punta Cana was on time and fine . However, flight 3146 from Charlotte to Cleveland was also delayed multiple times. How pathetic is an airline that tries to charge absurd prices and still delays its flights? If I were flying on a low-cost airline, I could understand."
2025-08-21,American Airlines,2,"When I booked tickets I chose seats that weren't premium. On both legs, I was moved to a middle seat even though I had reserved an isle. I was told that since I didn't pay for the seat I could be assigned any seat if someone purchased my seat at a later date. Why not notify me? Poor customer service."
2025-08-19,American Airlines,10,"This was an excellent flight highlighted by a friendly and efficient cabin crew. The flight left and arrived on time, the pods were comfy and allowed for a few hours of sleep. The main meal was very good, unfortunately the pre landing meal was a literally tasteless Asian Noodle Salad. The entertainment was great as well. Except for the pre landing meal, everything was near perfect."
2025-08-19,American Airlines,1,"We are very disappointed with American Airlines. We purchased round-trip tickets to Canada six months in advance, but one month before our trip, American Airlines canceled our return flight and rescheduled our tickets with extra stops. This completely changed our travel plans. Because of the late notice, we had no choice but to cancel everything — by then, it was too late to find affordable alternatives since ticket prices had increased significantly. Booking so far in advance should give passengers peace of mind, not stress and uncertainty. Unfortunately, this experience was very frustrating and left us with a negative impression of American Airlines."
2025-08-12,American Airlines,1,"I am deeply disappointed and disturbed by the treatment my granddaughter received while traveling alone as a minor on a ticket booked through British Airways and operated by American Airlines. What was supposed to be a carefully planned and supervised journey turned into a chaotic, stressful ordeal marked by negligence and poor communication.  Her initial return flight was delayed without clear explanation, causing her to miss her connection. The rebooking process was disorganized and left her stranded for over 24 hours with minimal support and inability to stay at a hotel as she is a minor. To make matters worse, her final leg had to be routed through another city 4 hours away from her home, and no proactive assistance was offered to ensure her safety or re-accommodation. - Lost Luggage: Her checked bag—containing essential items—was lost in transit. Despite multiple attempts to locate it, we received vague updates and conflicting information. It took 7 days to even confirm its whereabouts and get it back, and the lack of urgency was appalling given she was a minor traveling alone. In the meantime, we had to get her essential supplies, but she had to go without her prescribed medication for those 7-days.  The most egregious failure was the lack of accountability and care for an unaccompanied minor. Staff were either uninformed or indifferent, and she was left to navigate, confusing airport logistics without proper guidance. This is not just a customer service issue, it’s a serious breach of duty and trust. - Customer Service Breakdown: Reaching a competent representative was nearly impossible. Calls were rerouted, dropped, or met with scripted responses that failed to address the gravity of the situation. British Airways deflected responsibility to American Airlines, and vice versa, leaving us in a bureaucratic limbo. This experience was not only unacceptable, it was traumatic.  Neither American Airlines nor British Airways met even the minimum threshold. She was given a food voucher and shoed away."
2025-08-10,American Airlines,10,"I’ve flown first class many times, but this flight was something truly special—especially for my wife, who was experiencing first class for the very first time. What made it unforgettable was the incredible service provided by our flight attendant, Jade. She was absolutely phenomenal. From the moment we boarded, she radiated warmth and professionalism, treating every passenger with the kind of care and attention you’d expect from a loving grandmother doting on her grandchildren. Her energy was infectious, her attention to detail impeccable, and her ability to make each person feel valued was extraordinary. She didn’t just meet expectations—she soared far above them. I’ve never experienced service like this before, and thanks to her, the bar for our future travels has been set sky-high. She turned a routine flight into a cherished memory, and we’re deeply grateful."
2025-08-07,American Airlines,1,"Extremely disappointed with American Airlines. In one week, I experienced four delays, a canceled flight, and a flight that took off and returned to the airport mid-air. On AA2244, the delay was due to a mechanical issue - confirmed by staff and supported by evidence. I was being rebooked and issued a hotel because I was about to miss my connection. Within seconds, the flight was canceled and reclassified as weather-related, and suddenly they refused to provide a hotel. I was stranded overnight and told to cover costs myself. Despite clear documentation, American has denied reimbursement. This is a clear failure to take responsibility. I’ve filed a formal complaint with the U.S. Department of Transportation."
